Data_Hora,ID_Veiculo,Linha,Latitude,Longitude,Numero_Passageiros,Tempo_Viagem_Minutos,Dado_Correto,Hora,Horario_Pico,Situacao
2024-03-26 10:42:00,Onibus 21,Linha 303,-23.599469,-46.644322,7,64,True,10,0,Rápida
2024-03-17 05:30:00,Onibus 26,Linha 505,-23.602383,-46.662141,15,108,False,5,0,Rápida
2024-03-29 21:53:00,Onibus 13,Linha 505,-23.552982,-46.634814,10,80,True,21,0,Rápida
2024-03-05 20:18:00,Onibus 7,Linha 303,-23.598571,-46.658428,39,28,True,20,1,Lenta
2024-03-08 15:46:00,Onibus 5,Linha 505,-23.555072,-46.665552,30,74,True,15,1,Lenta
2024-03-15 08:35:00,Onibus 17,Linha 202,-23.555004,-46.648029,16,40,True,8,0,Rápida
2024-03-16 15:23:00,Onibus 12,Linha 505,-23.555124,-46.656331,35,25,True,15,1,Lenta
2024-03-30 18:06:00,Onibus 3,Linha 303,-23.553531,-46.679293,8,46,True,18,0,Rápida
2024-03-30 17:06:00,Onibus 24,Linha 101,42.573975,89.153566,36,80,False,17,1,Lenta
2024-03-04 20:17:00,Onibus 4,Linha 404,-23.558817,-46.642176,8,40,True,20,0,Rápida
2024-03-04 01:54:00,Onibus 16,Linha 303,-23.583912,-46.659921,34,34,True,1,1,Lenta
2024-03-05 22:36:00,Onibus 24,Linha 202,-23.56021,-46.63697,7,54,True,22,0,Rápida
2024-03-10 12:53:00,Onibus 6,Linha 101,-23.576098,-46.660612,39,32,True,12,1,Lenta
2024-03-26 08:24:00,Onibus 11,Linha 303,-23.569367,-46.644154,5,69,True,8,0,Rápida
2024-03-22 23:38:00,Onibus 2,Linha 202,-23.574834,-46.639817,4,13,True,23,0,Rápida
2024-03-07 10:11:00,Onibus 11,Linha 202,-23.587845,-46.663136,34,11,True,10,1,Lenta
2024-03-05 23:15:00,Onibus 14,Linha 101,-23.556309,-46.674786,38,56,True,23,1,Lenta
2024-03-20 16:37:00,Onibus 19,Linha 404,-23.524649,-46.68672,36,127,False,16,1,Lenta
2024-03-28 19:38:00,Onibus 24,Linha 101,-23.586037,-46.657152,37,50,True,19,1,Lenta
2024-03-12 14:46:00,Onibus 16,Linha 101,20.516282,166.669671,-10,134,False,14,0,Rápida
2024-03-05 12:37:00,Onibus 24,Linha 505,-23.57726,-46.659436,21,70,True,12,0,Rápida
2024-03-11 04:38:00,Onibus 4,Linha 404,-23.594814,-46.655487,28,77,True,4,0,Rápida
2024-03-07 19:43:00,Onibus 11,Linha 202,-23.5788,-46.648446,25,45,True,19,0,Rápida
2024-03-25 19:03:00,Onibus 23,Linha 505,-23.571798,-46.64565,16,38,True,19,0,Rápida
2024-03-02 15:09:00,Onibus 1,Linha 202,-23.590914,-46.646053,3,30,True,15,0,Rápida
2024-03-15 11:59:00,Onibus 15,Linha 303,-23.589274,-46.673777,25,55,True,11,0,Rápida
2024-03-29 07:56:00,Onibus 6,Linha 202,-23.571245,-46.651926,18,24,True,7,0,Rápida
2024-03-23 13:09:00,Onibus 28,Linha 404,-23.580642,-46.673811,36,76,True,13,1,Lenta
2024-03-28 18:12:00,Onibus 6,Linha 101,-23.577664,-46.675881,19,51,True,18,0,Rápida
2024-03-06 04:45:00,Onibus 6,Linha 404,-23.577561,-46.63929,38,29,True,4,1,Lenta
2024-03-20 18:32:00,Onibus 21,Linha 404,-23.581722,-46.656091,14,52,True,18,0,Rápida
2024-04-27 23:16:00,Onibus 25,Linha 303,-23.634867,-46.611497,7,14,False,23,0,Rápida
2024-03-07 18:52:00,Onibus 30,Linha 101,-23.561524,-46.662623,18,23,True,18,0,Rápida
2024-03-14 21:20:00,Onibus 29,Linha 101,-23.591502,-46.639282,21,13,True,21,0,Rápida
2024-03-20 08:08:00,Onibus 16,Linha 303,-23.554986,-46.645351,40,50,True,8,1,Lenta
2024-03-26 01:08:00,Onibus 19,Linha 202,-23.591634,-46.675175,11,18,True,1,0,Rápida
2024-03-03 10:03:00,Onibus 4,Linha 101,-23.592327,-46.642341,32,18,True,10,1,Lenta
2024-03-18 18:56:00,Onibus 5,Linha 101,-23.569122,-46.632637,28,43,True,18,0,Rápida
2024-03-09 12:57:00,Onibus 19,Linha 202,-23.573323,-46.6524,5,72,True,12,0,Rápida
