Data_Hora,ID_Veiculo,Linha,Latitude,Longitude,Numero_Passageiros,Tempo_Viagem_Minutos,Dado_Correto,Hora,Horario_Pico,Situacao
2024-03-15 10:47:00,Onibus 17,Linha 202,-23.593397,-46.654974,16,56,True,10,0,Rapida
2024-03-04 01:40:00,Onibus 2,Linha 505,-23.566725,-46.658204,3,79,True,1,0,Rapida
2023-10-10 05:00:00,Onibus 20,Linha 404,-23.626767,-46.640352,5,104,False,5,0,Rapida
2024-03-09 09:30:00,Onibus 30,Linha 202,-23.597246,-46.649817,16,28,True,9,0,Rapida
2024-03-15 18:50:00,Onibus 6,Linha 303,-23.578603,-46.644024,13,76,True,18,0,Rapida
2024-03-16 03:31:00,Onibus 9,Linha 303,-23.590106,-46.651331,21,35,True,3,0,Rapida
2024-03-28 05:05:00,Onibus 1,Linha 505,-23.588293,-46.630526,17,53,True,5,0,Rapida
2024-03-15 21:03:00,Onibus 20,Linha 404,-23.569215,-46.634727,10,26,True,21,0,Rapida
2024-03-25 10:44:00,Onibus 19,Linha 101,-23.582352,-46.645566,33,49,True,10,1,Lenta
2024-03-14 22:40:00,Onibus 11,Linha 202,-23.580318,-46.658896,3,28,True,22,0,Rapida
2024-03-28 19:58:00,Onibus 5,Linha 303,-23.559962,-46.668391,1,17,True,19,0,Rapida
2024-03-02 18:32:00,Onibus 23,Linha 404,-23.542532,-46.666397,0,10,False,18,0,Rapida
2024-03-09 11:44:00,Onibus 5,Linha 202,-23.569675,-46.644184,9,76,True,11,0,Rapida
2024-03-19 18:50:00,Onibus 30,Linha 505,-23.559361,-46.640287,24,47,True,18,0,Rapida
2024-03-02 14:31:00,Onibus 4,Linha 202,-23.590528,-46.665673,9,15,True,14,0,Rapida
2024-03-22 11:12:00,Onibus 8,Linha 202,-23.59703,-46.644848,22,13,True,11,0,Rapida
2024-03-31 01:44:00,Onibus 2,Linha 202,-23.554375,-46.664335,26,43,True,1,0,Rapida
2024-03-26 08:38:00,Onibus 17,Linha 202,-23.567628,-46.653177,0,22,True,8,0,Rapida
2024-03-13 15:07:00,Onibus 17,Linha 202,-23.570043,-46.641669,2,60,True,15,0,Rapida
2024-03-12 17:50:00,Onibus 15,Linha 202,-23.582786,-46.6604,8,38,True,17,0,Rapida
2024-03-11 11:34:00,Onibus 27,Linha 101,-23.563458,-46.650208,24,72,True,11,0,Rapida
2024-03-07 12:43:00,Onibus 30,Linha 303,-23.636552,-46.683218,45,93,False,12,1,Lenta
2024-03-02 09:23:00,Onibus 28,Linha 202,-23.575668,-46.675126,40,77,True,9,1,Lenta
2024-03-09 22:19:00,Onibus 8,Linha 505,-23.596249,-46.66706,6,21,True,22,0,Rapida
2024-03-15 11:29:00,Onibus 9,Linha 202,-23.581366,-46.65768,19,86,True,11,0,Rapida
2024-03-19 20:31:00,Onibus 16,Linha 202,-23.574336,-46.658637,5,16,True,20,0,Rapida
2024-03-07 07:21:00,Onibus 17,Linha 303,-23.578506,-46.650146,29,66,True,7,0,Rapida
2024-03-11 19:30:00,Onibus 26,Linha 404,-23.566473,-46.668069,17,47,True,19,0,Rapida
2024-03-06 13:49:00,Onibus 20,Linha 303,-23.558441,-46.652195,30,39,True,13,1,Lenta
2024-04-16 05:30:00,Onibus 22,Linha 404,-23.618959,-46.658714,22,140,False,5,0,Rapida
2024-03-27 00:21:00,Onibus 21,Linha 101,-23.586808,-46.655205,32,42,True,0,1,Lenta
2024-03-17 11:10:00,Onibus 17,Linha 505,-23.587118,-46.66859,2,82,True,11,0,Rapida
2024-04-27 07:20:00,Onibus 10,Linha 505,-23.551435,-46.684709,4,108,False,7,0,Rapida
2024-04-15 06:00:00,Onibus 20,Linha 303,-23.594021,-46.607536,-9,147,False,6,0,Rapida
2024-03-01 15:20:00,Onibus 1,Linha 303,-23.586005,-46.66652,30,52,True,15,1,Lenta
2024-03-17 14:20:00,Onibus 20,Linha 404,-23.620775,-46.6723,30,21,False,14,1,Lenta
